platform,month,row_count
tiktok,2025-01-01,108870939
tiktok,2025-02-01,155621404
tiktok,2025-03-01,202128288
tiktok,2025-04-01,185115344
tiktok,2025-05-01,101359626
tiktok,2025-06-01,77126737
tiktok,2025-07-01,61793705
tiktok,2025-08-01,46208588
tiktok,2025-09-01,22461974
tiktok,2025-10-01,22362029
tiktok,2025-11-01,11545682
tiktok,2025-12-01,3093951
x,2025-01-01,36112
x,2025-02-01,33139
x,2025-03-01,31542
x,2025-04-01,13586
x,2025-05-01,6475
x,2025-06-01,11337
x,2025-07-01,23670
x,2025-08-01,5981
x,2025-09-01,5750
x,2025-10-01,4937
x,2025-11-01,5159
x,2025-12-01,5633
