platform,column,dtype
tiktok,uuid,String
tiktok,decision_visibility,String
tiktok,decision_visibility_other,String
tiktok,end_date_visibility_restriction,"Datetime(time_unit='ms', time_zone=None)"
tiktok,decision_monetary,String
tiktok,decision_monetary_other,String
tiktok,end_date_monetary_restriction,"Datetime(time_unit='ms', time_zone=None)"
tiktok,decision_provision,String
tiktok,end_date_service_restriction,"Datetime(time_unit='ms', time_zone=None)"
tiktok,decision_account,String
tiktok,end_date_account_restriction,"Datetime(time_unit='ms', time_zone=None)"
tiktok,account_type,String
tiktok,decision_ground,String
tiktok,decision_ground_reference_url,String
tiktok,illegal_content_legal_ground,String
tiktok,illegal_content_explanation,String
tiktok,incompatible_content_ground,String
tiktok,incompatible_content_explanation,String
tiktok,incompatible_content_illegal,String
tiktok,category,String
tiktok,category_addition,String
tiktok,category_specification,String
tiktok,category_specification_other,String
tiktok,content_type,String
tiktok,content_type_other,String
tiktok,content_language,String
tiktok,content_date,"Datetime(time_unit='ms', time_zone=None)"
tiktok,territorial_scope,String
tiktok,application_date,"Datetime(time_unit='ms', time_zone=None)"
tiktok,decision_facts,String
tiktok,source_type,String
tiktok,source_identity,String
tiktok,automated_detection,String
tiktok,automated_decision,String
tiktok,platform_name,String
tiktok,platform_uid,String
tiktok,created_at,"Datetime(time_unit='ms', time_zone=None)"
