platform,column,source,len_min,len_max,len_mean,whitespace_anomaly_count
tiktok,uuid,sample 20 files,36,36,36.0,0
tiktok,decision_visibility,sample 20 files,29,112,34.84,0
tiktok,decision_visibility_other,sample 20 files,3,193,59.5,0
tiktok,decision_monetary,sample 20 files,0,0,0.0,0
tiktok,decision_monetary_other,sample 20 files,0,0,0.0,0
tiktok,decision_provision,sample 20 files,37,37,37.0,0
tiktok,decision_account,sample 20 files,26,27,27.0,0
tiktok,account_type,sample 20 files,0,0,0.0,0
tiktok,decision_ground,sample 20 files,31,36,36.0,0
tiktok,decision_ground_reference_url,sample 20 files,0,0,0.0,0
tiktok,illegal_content_legal_ground,sample 20 files,10,500,31.67,0
tiktok,illegal_content_explanation,sample 20 files,5,2000,41.74,0
tiktok,incompatible_content_ground,sample 20 files,3,500,25.48,0
tiktok,incompatible_content_explanation,sample 20 files,3,2000,559.03,0
tiktok,incompatible_content_illegal,sample 20 files,0,0,0.0,0
tiktok,category,sample 20 files,27,67,43.77,0
tiktok,category_addition,sample 20 files,0,0,0.0,0
tiktok,category_specification,sample 20 files,0,0,0.0,0
tiktok,category_specification_other,sample 20 files,0,0,0.0,0
tiktok,content_type,sample 20 files,21,42,21.5,0
tiktok,content_type_other,sample 20 files,4,27,13.1,0
tiktok,content_language,sample 20 files,0,0,0.0,0
tiktok,territorial_scope,sample 20 files,2,151,145.53,0
tiktok,decision_facts,sample 20 files,64,96,65.2,0
tiktok,source_type,sample 20 files,16,30,16.0,0
tiktok,source_identity,sample 20 files,0,0,0.0,0
tiktok,automated_detection,sample 20 files,2,3,2.99,0
tiktok,automated_decision,sample 20 files,24,32,24.33,0
tiktok,platform_name,sample 20 files,6,6,6.0,0
tiktok,platform_uid,sample 20 files,19,19,19.0,0
